timestamp_utc,mmsi,latitude,longitude,cog,sog,true_heading,navigational_status,wetterzustand,luftdruck,windrichtung,windstaerke,bewoelkung,lufttemperatur,wassertemperatur,niederschlag,wellenhoehe
2025-10-19 23:51:38.22408602 +0000 UTC,244528000,51.42437,2.92929,224.4,4.3,511,8,Mäßiger Regen,997.9,164,40.0,100,13.9,15.2,1.2,0.76
2025-10-20 02:18:59.950568024 +0000 UTC,244528000,51.31367,2.8856,177.1,3.4,511,0,Bedeckt,996.8,182,31.0,100,14.6,15.4,0.0,0.82
2025-10-20 03:39:38.392545448 +0000 UTC,244528000,51.26541,2.87694,183.7,2.5,511,0,Teilweise bewölkt,997.0,199,21.6,74,14.7,15.4,0.0,0.74
2025-10-20 04:04:07.369840141 +0000 UTC,244528000,51.25279,2.89234,139.6,2.5,511,0,Überwiegend klar,997.0,190,15.1,31,14.4,15.4,0.0,0.74
2025-10-20 04:38:47.793086169 +0000 UTC,244528000,51.23391,2.92332,360,0.2,511,0,Teilweise bewölkt,996.6,199,15.1,51,14.0,15.1,0.0,0.88
2025-10-20 04:58:06.905798945 +0000 UTC,244528000,51.23392,2.92329,360,0,511,5,Überwiegend klar,996.5,199,14.8,21,13.9,15.1,0.0,0.88
2025-10-21 03:16:07.996319134 +0000 UTC,244528000,51.23392,2.92332,360,0.1,511,5,Mäßiger Sprühregen,989.9,257,31.7,100,14.1,14.8,0.2,1.74
2025-10-21 03:52:05.464066879 +0000 UTC,244528000,51.23391,2.92331,360,0,511,5,Mäßiger Sprühregen,990.3,257,33.5,100,14.0,14.8,0.2,1.74
2025-10-21 07:04:12.323934161 +0000 UTC,244528000,51.23389,2.92329,360,0.1,511,5,Bedeckt,993.3,258,31.0,100,13.8,14.8,0.0,1.54
2025-10-21 07:31:06.193463169 +0000 UTC,244528000,51.23389,2.92331,360,0,511,5,Teilweise bewölkt,993.5,251,25.2,72,13.9,14.8,0.0,1.54
2025-10-21 10:37:08.770006174 +0000 UTC,244528000,51.23391,2.92331,360,0.1,511,5,Bedeckt,994.8,217,19.4,100,13.7,14.8,0.0,1.36
2025-10-21 10:55:09.10778363 +0000 UTC,244528000,51.23391,2.92331,360,0,511,5,Bedeckt,994.8,217,19.4,100,14.0,14.8,0.0,1.36
2025-10-21 11:28:07.619805168 +0000 UTC,244528000,51.2339,2.92334,360,0.1,511,5,Bedeckt,994.5,247,22.7,100,15.1,14.8,0.0,1.36
2025-10-21 11:52:06.819252728 +0000 UTC,244528000,51.23387,2.92334,360,0,511,5,Bedeckt,994.6,247,23.0,100,14.9,14.8,0.0,1.36
2025-10-21 13:04:05.748250841 +0000 UTC,244528000,51.23385,2.9233,360,0.1,511,5,Bedeckt,994.6,204,21.2,100,15.0,14.8,0.0,1.4
2025-10-21 13:46:10.112044141 +0000 UTC,244528000,51.23387,2.92329,360,0.1,511,5,Bedeckt,994.7,206,20.9,100,13.9,14.8,0.0,1.4
2025-10-21 14:34:04.928982606 +0000 UTC,244528000,51.23393,2.92329,360,0,511,5,Mäßiger Sprühregen,994.7,208,24.1,99,14.0,14.8,0.2,1.4
2025-10-21 14:55:12.725693826 +0000 UTC,244528000,51.23392,2.9233,360,0.1,511,5,Mäßiger Sprühregen,994.6,208,24.5,100,14.1,14.8,0.2,1.4
2025-10-21 15:37:06.557318319 +0000 UTC,244528000,51.23392,2.92329,360,0,511,5,Leichter Sprühregen,994.5,210,23.0,100,13.9,14.8,0.1,1.58
2025-10-21 21:52:08.407167266 +0000 UTC,244528000,51.2339,2.92332,360,0.1,511,5,Bedeckt,995.0,208,16.2,100,12.9,14.7,0.0,1.38
2025-10-21 22:31:08.156396886 +0000 UTC,244528000,51.23388,2.9233,360,0,511,5,Teilweise bewölkt,995.1,217,20.2,76,12.9,14.6,0.0,1.38
2025-10-21 22:52:06.822921846 +0000 UTC,244528000,51.23389,2.92332,360,0.1,511,5,Teilweise bewölkt,995.3,217,17.3,61,12.9,14.6,0.0,1.38
2025-10-21 23:31:07.581462041 +0000 UTC,244528000,51.23386,2.9233,360,0,511,5,Bedeckt,995.6,243,18.0,100,13.9,14.6,0.0,1.38
2025-10-22 03:31:05.678860514 +0000 UTC,244528000,51.23404,2.92452,64.9,1.5,511,5,Bedeckt,996.6,264,13.7,99,13.5,14.6,0.0,0.94
2025-10-22 04:00:09.524053353 +0000 UTC,244528000,51.26796,2.88635,319.4,6.9,511,0,Bedeckt,996.7,271,19.1,100,14.2,14.7,0.0,0.86
2025-10-22 04:36:57.582749811 +0000 UTC,244528000,51.29496,2.80305,262.9,7,511,8,Bedeckt,996.9,271,19.4,100,13.9,14.7,0.0,0.72
2025-10-22 04:53:38.764207407 +0000 UTC,244528000,51.29514,2.75569,271.8,6.6,511,8,Bedeckt,997.0,269,16.9,100,13.9,14.7,0.0,0.72
2025-10-22 05:33:38.095162319 +0000 UTC,244528000,51.29709,2.63432,262.4,7.1,511,8,Bedeckt,997.1,271,18.7,100,13.9,15.1,0.0,0.88
2025-10-22 05:52:00.567093988 +0000 UTC,244528000,51.29753,2.5771,270.9,7,511,8,Bedeckt,997.2,269,17.6,100,13.8,15.4,0.0,0.88
2025-10-22 13:46:56.106121047 +0000 UTC,244528000,50.8396,1.5549,187.6,4.7,511,0,Bedeckt,997.4,220,19.2,97,15.2,15.7,0.0,0.64
2025-10-22 14:05:27.074149703 +0000 UTC,244528000,50.81409,1.55968,175.3,5.6,511,0,Bedeckt,997.4,223,24.2,99,15.2,15.6,0.0,0.68
2025-10-22 14:40:17.534570096 +0000 UTC,244528000,50.75644,1.56234,190.9,6.2,511,0,Bedeckt,997.3,224,21.4,99,15.1,15.6,0.0,0.68
2025-10-22 14:56:26.71040362 +0000 UTC,244528000,50.73279,1.58303,118.4,6.1,511,0,Bedeckt,997.4,226,10.4,93,15.3,15.6,0.0,0.72
2025-10-22 15:35:27.110323945 +0000 UTC,244528000,50.72777,1.59779,360,0,511,5,Bedeckt,996.6,219,10.2,94,15.0,15.4,0.0,0.64
2025-10-23 08:59:28.212174144 +0000 UTC,244528000,50.72776,1.59781,360,0.1,511,5,Bedeckt,975.6,307,40.8,100,12.0,15.2,0.2,2.48
2025-10-23 09:35:27.139720865 +0000 UTC,244528000,50.72775,1.5978,360,0,511,5,Leichter Regen,977.9,300,46.6,100,11.6,15.2,1.2,2.6
2025-10-23 10:38:25.757935346 +0000 UTC,244528000,50.72776,1.59777,360,0.1,511,5,Mäßiger Regen,980.8,299,50.3,100,11.4,15.1,0.1,2.6
2025-10-23 10:53:29.008731675 +0000 UTC,244528000,50.72779,1.59776,360,0.1,511,5,Mäßiger Regen,981.7,300,50.0,100,11.6,15.1,0.0,2.6
2025-10-23 11:29:27.620973557 +0000 UTC,244528000,50.7278,1.59779,244.4,0.3,511,5,Leichter Regen,983.0,301,49.6,100,11.6,15.1,0.0,2.6
2025-10-23 11:53:25.669076097 +0000 UTC,244528000,50.72779,1.59781,360,0.2,511,5,Leichter Regen,984.2,301,48.0,100,11.7,15.1,0.0,2.6
2025-10-23 13:02:26.847197878 +0000 UTC,244528000,50.72775,1.59783,360,0.1,511,5,Bedeckt,986.8,297,45.2,100,11.9,15.2,0.0,2.46
2025-10-23 13:44:26.954574301 +0000 UTC,244528000,50.72775,1.59782,360,0.1,511,5,Bedeckt,988.1,294,42.7,100,11.9,15.2,0.0,2.46
2025-10-23 13:56:28.632376783 +0000 UTC,244528000,50.72775,1.59782,360,0.2,511,5,Bedeckt,988.6,294,41.7,100,11.9,15.2,0.0,2.46
